0374427fda8b64f189cecbd2ef09f58c,"Second-ranked Austrian Thomas Muster , who was seeded third , did not have the luck of the draw with him .","[""Thomas Muster"" ""Austrian""]",has nationality,,
0374427fda8b64f189cecbd2ef06e85c,Stefan Edberg ( Sweden ) vs. 5 - Richard Krajicek ( Netherlands ),"[""Richard Krajicek"" ""Netherlands""]",has nationality,,
0374427fda8b64f189cecbd2ef096134,"( Sweden ) , Marcus Wills , Pedro Linhart ( Spain ) , Jamie Spence , Terry Price ( Australia ) , Juan Carlos Pinero ( Spain ) ,","[""Pedro Linhart"" ""Spain""]",has nationality,,
0374427fda8b64f189cecbd2ef0a009e,"If he survives , Muster is seeded to run into either fifth-seeded Wimbledon champion Richard Krajicek of the Netherlands or 12th-seeded American Todd Martin in the quarter-finals in Chang 's half of the draw .","[""Muster"" ""American""]",,,
0374427fda8b64f189cecbd2ef052ed1,Mark Woodforde ( Australia ) vs. Mark Philippoussis ( Australia ),"[""Mark Woodforde"" ""Australia""]",has nationality,,
0374427fda8b64f189cecbd2ef010b62,Palestinian officials accused right-wing Prime Minister Benjamin Netanyahu of trying to stop the Ramallah meeting by keeping Arafat grounded .,"[""Arafat"" ""Palestinian""]",,,
0374427fda8b64f189cecbd2ef0cfc2e,Bangladesh 's Criminal Investigation Department has charged two immigration officials in connection with Mia 's killing .,"[""Mia"" ""Bangladesh""]",lived in,,
0374427fda8b64f189cecbd2ef02562a,"( Sweden ) , Nick Faldo ( Britain ) , John Cook , Steve Jones , Phil Mickelson , Greg Norman ( Australia )","[""Phil Mickelson"" ""Sweden""]",,,
0374427fda8b64f189cecbd2ef0c23c4,"Bertram said Lauck was obsessed by Nazism and devoted his life to leading his National Socialist German Workers ' Party Foreign Organisation ( NSDAP-AO ) , which derives its name from the full German title of Hitler 's Nazi party .","[""Lauck"" ""Nazi""]",,,
0374427fda8b64f189cecbd2ef02c9b1,81 Seiki Okuda ( Japan ),"[""Seiki Okuda"" ""Japan""]",has nationality,,
